,title,url,price,image_url,description
10823,"Cape Verdean Blues, Paperback by Barbosa, Shauna",http://picclick.com/Cape-Verdean-Blues-Paperback-by-Barbosa-Shauna-263766365203.html,"{'amount': 13.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/263766365203_/Cape-Verdean-Blues-Paperback-by-Barbosa-Shauna.jpg,
10824,ARP FRIQUE Welcome To The Colorful World Of Arp Frique LP NEW VINYL Colorful Wo,http://picclick.com/ARP-FRIQUE-Welcome-To-The-Colorful-World-Of-192563845387.html,"{'amount': 31.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/192563845387_/ARP-FRIQUE-Welcome-To-The-Colorful-World-Of.jpg,
10825,ANTONIO SANCHES Buli Povo RSD LP NEW VINYL Analog Africa reissue,http://picclick.com/ANTONIO-SANCHES-Buli-Povo-RSD-LP-NEW-VINYL-202304484756.html,"{'amount': 43.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/202304484756_/ANTONIO-SANCHES-Buli-Povo-RSD-LP-NEW-VINYL.jpg,
10826,Cape Verdean Immigrants In America - New Hardcover Book,http://picclick.com/Cape-Verdean-Immigrants-In-America-New-Hardcover-391954677140.html,"{'amount': 67.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/391954677140_/Cape-Verdean-Immigrants-In-America-New-Hardcover.jpg,
10827,The Making of the Cape Verdean (Paperback or Softback),http://picclick.com/The-Making-of-the-Cape-Verdean-Paperback-or-382221735092.html,"{'amount': 21.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/382221735092_/The-Making-of-the-Cape-Verdean-Paperback-or.jpg,
10828,Cape Verdean Diaspora in Portugal : Colonial Subjects in a Postcolonial World...,http://picclick.com/Cape-Verdean-Diaspora-in-Portugal-Colonial-Subjects-273306873625.html,"{'amount': 103.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/273306873625_/Cape-Verdean-Diaspora-in-Portugal-Colonial-Subjects.jpg,
10829,"Cape Verdean Blues: By Barbosa, Shauna",http://picclick.com/Cape-Verdean-Blues-By-Barbosa-Shauna-323160909693.html,"{'amount': 16.0, 'currency': '$'}",/img/imgNoImg.gif,
10830,"Counting in Cape Verdean, Paperback by Watson, Jamantha Williams",http://picclick.com/Counting-in-Cape-Verdean-Paperback-by-Watson-Jamantha-273307372319.html,"{'amount': 13.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/273307372319_/Counting-in-Cape-Verdean-Paperback-by-Watson-Jamantha.jpg,
10831,"Necessarily Black: Cape Verdean Youth, Hip-Hop Culture, and a Critique of Identi",http://picclick.com/Necessarily-Black-Cape-Verdean-Youth-Hip-Hop-Culture-and-253617746690.html,"{'amount': 17.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/253617746690_/Necessarily-Black-Cape-Verdean-Youth-Hip-Hop-Culture-and.jpg,
10832,Cape Verdean Immigrants in America: The Socialization of Young Men in an Urban E,http://picclick.com/Cape-Verdean-Immigrants-in-America-The-Socialization-of-381520165219.html,"{'amount': 78.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/381520165219_/Cape-Verdean-Immigrants-in-America-The-Socialization-of.jpg,
